sentence,tag_3,tag_7
ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটির (ডিআইইউ) ১ হাজার ২৩ জন শিক্ষার্থী গুগল ট্রান্সলেটে এ শব্দগুলো যোগ করেছেন।,neutral,neutral
"বাংলাদেশ ওপেন সোর্স নেটওয়ার্কের (বিডিওএসএন) সাধারণ সম্পাদক মুনির হাসান বলেন, ‘শুধু চিৎকার করেই দেশের প্রতি ভালোবাসা প্রকাশ করা যায় না। ভালো ভালো কাজ করতে হয়। সেসব কাজের সুযোগ এখন ইন্টারনেটে। গুগলে বাংলা শব্দভান্ডার সমৃদ্ধ করতে পারলে উইকিপিডিয়ার নিবন্ধও আমরা অনুবাদ করে পড়তে পারব। অন্যরাও বাংলা থেকে ইংরেজি করতে পারবে, বহির্বিশ্বে দেশের পরিচিতি বাড়বে।’",positive,strongly positive
" অনুষ্ঠানে প্রধান অতিথি ডিআইইউর পরিচালনা পর্ষদের চেয়ারম্যান মো. সবুর খান বলেন, ‘আমাদের ছেলেমেয়েরা চতুর্দিকে ছড়িয়ে পড়ছে। সব ধরনের ভালো অবদানগুলোতে তাদের সম্মিলিত অংশগ্রহণ বাড়ছে। আগামী দিনের পৃথিবী হবে প্রযুক্তিনির্ভর। রয়েছে অনেক উদ্ভাবনী কাজের সুযোগ। সে জন্য প্রস্তুত থাকার পাশাপাশি নিজেদের লক্ষ্য নির্ধারণ করে ভালো কাজের প্রতি ঝাঁপিয়ে পড়তে হবে।’",positive,mildly positive
উন্মুক্ত বিশ্বকোষ উইকিপিডিয়ার ব্যবহারকারী এবং অবদানকারী স্বেচ্ছাসেবকদের কার্যক্রমে ওপর নজরদারি করায় যুক্তরাষ্ট্রের ন্যাশনাল সিকিউরিটি এজেন্সির (এনএসএ) বিরুদ্ধে মামলা করেছে উইকিমিডিয়া ফাউন্ডেশন।,negative,mildly negative
উইকিপিডিয়া পরিচালনাকারী অলাভজনক সংস্থা উইকিমিডিয়া ফাউন্ডেশন গত মঙ্গলবার যুক্তরাষ্ট্রের ম্যারিল্যান্ডের আদালতে মামলা করে।,neutral,neutral
"যেসব শিশু তাদের মা-বাবার কাছ থেকে সব সময় বেশি বেশি প্রশংসা পায়, তাদের মধ্যে আত্মপ্রেমী মানসিকতা তৈরি হতে পারে",positive,strongly positive
"এতে দেখা যায়, যেসব শিশু অন্যদের চেয়ে বিশেষ কিছু এবং জীবনে অসাধারণ কিছু করার যোগ্য—এমন প্রশংসা শুনতে অভ্যস্ত, তারা আত্মপ্রেমী হতে শুরু করে। আর বড় হয়ে নিজেদের জন্য এবং সমাজের জন্য ভালো হওয়ার সম্ভাবনা তাদের মধ্যে কমে যেতে পারে।",negative,mildly negative
"অনেকেরই ধারণা, রসবোধ ও বুদ্ধিমত্তাসম্পন্ন নারীর সঙ্গে নিজেকে মানিয়ে নিতে গড়পড়তা পুরুষের সমস্যা হয়",negative,mildly negative
 কৌতুকবোধে পরিণত নারীকে পুরুষেরা সাধারণত অপছন্দ করে বলেই ধারণা করা হয়,negative,mildly negative
" রসবোধ তৈরি করার সামর্থ্য এবং কৌতুক বোঝার দক্ষতা যাচাই করার ওই গবেষণায় দেখা যায়, নারী ও পুরুষের মধ্যে একটি ব্যাপারে মিল রয়েছে। তাদের কথা শুনে বিপরীত লিঙ্গের কেউ হাসলে তারা পছন্দ করে।",positive,positive
কিন্তু অন্যকে হাসানোর সামর্থ্য বিবেচনা করলে নারীরা তুলনামূলক এগিয়ে থাকে।,positive,mildly positive
"তবে রসিক পুরুষকে নারীরা যতটা পছন্দ করে, বুদ্ধিদীপ্ত নারীকে পুরুষেরা তার চেয়ে কিছুটা কম প্রত্যাশা করে।",negative,mildly negative
"স্মার্টফোন ব্যবহার করে অভ্যস্ত যাঁরা, তাঁদের চিন্তাভাবনায় একধরনের আলসেমি তৈরি হয়",negative,mildly negative
 আর এভাবেই স্মার্টফোন ব্যবহারকারীরা নিজের মস্তিষ্কের চেয়ে যন্ত্রের ওপরই বেশি নির্ভরশীল হয়ে পড়ছেন,negative,mildly negative
"ওয়াটারলু বিশ্ববিদ্যালয়ের মনোবিজ্ঞানী গর্ডন পেনিকুক বলেন, যেসব তথ্য সহজেই পাওয়া যায় এবং শেখা যায়, সেগুলো নিয়ে স্মার্টফোন ব্যবহারকারীরা চিন্তাভাবনা করতে সাধারণত অনিচ্ছুক হয়ে থাকেন।",negative,mildly negative
ব্যাকটেরিয়া বা অণুজীবগুলো জিনপ্রকৌশলের মাধ্যমে রূপান্তর করা যায়,neutral,neutral
" তাঁদের দাবি, ‘এমন দিন খুব বেশি দূরে নয়, যখন আমরা নিজেদের শরীরে এ রকম ‘স্মার্ট’ অণুজীব লালন করব",positive,mildly positive
" ব্যাপারটা বিজ্ঞান কল্পকাহিনির মতো শোনালেও সংশ্লিষ্ট জীববিজ্ঞানীরা বলছেন, এ ধরনের সম্ভাবনা খুবই বাস্তবসম্মত।",positive,positive
"যদি আমরা এসব অণুজীবের সঙ্গে আমাদের শরীর-মনের সম্পর্ক সুনির্দিষ্টভাবে জানতে পারি, তাহলেই সেগুলোকে জিনগত প্রক্রিয়ায় নিয়ন্ত্রণ এবং ইতিবাচক উপায়ে কাজে লাগানো সম্ভব হবে।",positive,mildly positive
আলোদূষণের কারণে বিশ্বের বড় শহরগুলো থেকে ‘অন্ধকারাচ্ছন্ন ঝোড়ো রাত’ হারিয়ে গেছে।,negative,mildly negative
কৃত্রিম আলোর যুগ শুরু হওয়ার আগে মেঘেরা আকাশের বিভিন্ন তারা থেকে বের হওয়া আলো ঢেকে রাখত।,neutral,neutral
কিন্তু মেঘ থাকলেও এখন আকাশ উজ্জ্বল থেকে উজ্জ্বলতর হয় বিজলি বাতির আলোয়।,negative,negative
এতে প্রাণিকুল ও গাছপালার ওপর নেতিবাচক প্রভাব পড়ে বলে বিশেষজ্ঞদের কেউ কেউ মনে করেন।,negative,mildly negative
"কোনো বড় শহর এখন একেবারেই আঁধারে ডুবে গেলে বুঝতে হবে সেটা বিদ্যুৎ বিপর্যয়ের কারণে, ঝড়-বৃষ্টির কারণে নয়।",neutral,neutral
আকাশছোঁয়া অট্টালিকাগুলোয় এখন গভীর রাতে ঝড়-বৃষ্টির মধ্যেও কমলা আলোর আবরণ দেখা যায়,negative,neutral
"বিজ্ঞানীরা আশঙ্কা করছেন, আকাশের বৈশিষ্ট্যে এ ধরনের পরিবর্তনের ফলে প্রাণী ও উদ্ভিদকুল ক্ষতিগ্রস্ত হতে পারে।",negative,mildly negative
তবে কিছু কিছু কৃত্রিম আলো উপকারী এবং প্রয়োজনীয়।,positive,mildly positive
কিন্তু অতিরিক্ত এবং অপ্রত্যাশিত আলোর উপস্থিতিতে প্রাণী ও উদ্ভিদের স্বাস্থ্যের ক্ষতি হতে পারে ,negative,mildly negative
অ্যান্ড্রয়েড অপারেটিং সিস্টেমে বাংলা লেখার অ্যাপ রিদ্মিক আবার গুগল প্লে স্টোরে ফিরে এসেছে,neutral,neutral
 জনপ্রিয় এ অ্যাপটি ৪ মার্চ গুগল প্লে স্টোর থেকে অপসারণ করা হয়\,negative,negative
দীর্ঘদিন ধরে অবরোধ-হরতালের কারণে প্রযুক্তি বাজারের স্বাভাবিক বেচাকেনা নেই বললেই চলে।,negative,mildly negative
"বিক্রেতারা জানান, শুক্র ও শনিবার ক্রেতাদের উপস্থিতি থাকলেও হরতাল থাকলে ক্রেতারা তেমন বাজারমুখী হন না।",negative,mildly negative
ছুটির দিনে অনেকেই বেরিয়ে পড়েন পাশের কোনো রেস্তোরাঁয়,neutral,neutral
"তবে রেস্তোরাঁর তথ্য, দামদর সম্পর্কে আগে থেকে ধারণা না থাকায় সঠিক জায়গা বেছে নেওয়া কঠিনই।",negative,negative
নির্দিষ্ট বিষয়ে শ্রেণিকক্ষে শোনা লেকচারটা ঠিক মনে করতে পারছেন না,negative,negative
কৈশোরে অনেকেই অতিরিক্ত উদ্বেগে আক্রান্ত হয়,negative,mildly negative
 আজকের প্রতিযোগিতার দুনিয়ায় কিশোর-কিশোরীদের ওপর চেপে বসেছে নানা ধরনের উদ্বেগ আর দুশ্চিন্তা,negative,negative
অতিরিক্ত উদ্বিগ্ন কিশোর-কিশোরীর স্মরণশক্তি বা স্মৃতিশক্তি কমে যাওয়ার পাশাপাশি তাদের ওপর সুদূরপ্রসারী নেতিবাচক প্রভাব পড়ে,negative,strongly negative
স্মার্টফোন ব্যবহারকারীদের জন্য দুঃসংবাদই বলতে হয়,negative,negative
"শুধু তা–ই নয়, স্মার্টফোনে আসক্ত ব্যক্তিরা আত্মকেন্দ্রিক, ঈর্ষাপরায়ণ, বদমেজাজি এবং নেতিবাচক ব্যক্তিত্বের হন বলেও গবেষণার ফলাফলে উঠে এসেছে।",negative,mildly negative
অফিসের যাবতীয় কাজে মাইক্রোসফটের গুচ্ছ সফটওয়্যার অফিস বেশ জনপ্রিয়।,positive,positive
"কোনো কারণে যদি কম্পিউটার বন্ধ হয়ে যায়, তাহলে পরবর্তী সময়ে যেকোনো সময়ে অফিস প্রোগ্রাম চালু করলেই অটোরিকভারি সুবিধা পাওয়া যাবে।",positive,positive
সারা দেশে আগামী তিন বছরে ২৩ হাজার দক্ষ জনশক্তি তৈরি ও তাদের কর্মসংস্থানের ব্যবস্থা করা হবে।,positive,positive
নকিয়ার তৈরি জনপ্রিয় ফিচার ফোন নকিয়া ১১০০ নিয়ে নতুন করে হইচই শুরু হয়েছে,positive,positive
"গবেষণায় দেখা গেছে, ইন্টারনেট অব থিংসের কল্যাণে মানুষ এখন স্মার্ট সেভিংস বা খরচ সাশ্রয় করতে পারছে।",positive,positive
" যাঁদের রাতে দীর্ঘ সময় ধরে ভালো ঘুম হয়, তাঁরা অপেক্ষাকৃত তৃপ্ত ও সুখী বোধ করেন।",positive,positive
দিনে কয়েক কাপ কফি পান করলে ধমনিতে রক্ত জমাট বেঁধে যাওয়ার মতো মারাত্মক সমস্যা এড়ানো সহজ হতে পারে,positive,positive
"ওই গবেষকেরা ২৫ হাজারেরও বেশি নারী-পুরুষের ওপর জরিপ চালান, যাঁরা নিয়মিত স্বাস্থ্যপরীক্ষা করান",positive,positive
অনেক সময় দেখা যায় কম্পিউটারে হার্ডডিস্ক ড্রাইভে পার্টিশন করা ড্রাইভগুলোতে দুই ক্লিক করলেও তা খুলছে না,negative,mildly negative
"ফেসবুক ও গুগলের মতো ইন্টারনেট-ভিত্তিক বড় বড় প্রতিষ্ঠান মুনাফার বেশির ভাগই হাতিয়ে নিচ্ছে, কিন্তু অবকাঠামো নির্মাণসহ অন্যান্য ব্যয় করতে হচ্ছে অপারেটরদের।",negative,mildly negative
ইন্টারনেট কোম্পানিগুলো বিনা মূল্যে কলিং ও বার্তা পাঠানোর অ্যাপ ব্যবহারের সুযোগ দিয়ে টেলিকম অপারেটরদের লাভ কমিয়ে দিচ্ছে।,negative,negative
এই তো কদিন আগেই মানববর্জ্য থেকে উৎপন্ন পরিশোধিত পানি পান করে সবাইকে চমক লাগিয়ে দিয়েছিলেন মাইক্রোসফটের সহপ্রতিষ্ঠাতা বিল গেটস।,positive,positive
" মানববর্জ্য এখন দরকারি কাজে লাগানো যাচ্ছে এবং এই বর্জ্য ব্যবহার করে প্রয়োজনীয় নাইট্রোজেন সমৃদ্ধ জৈব সার, মাছের খাবারের মতো উপাদানও তৈরি করা যাচ্ছে।",positive,strongly positive
" মানববর্জ্য কাজে লাগিয়ে তা থেকে নিরাপদ, জৈব উপাদানসমৃদ্ধ সার তৈরি করতে কাজ করেছেন বুয়েটের কেমিক্যাল প্রকৌশল বিভাগের সহকারী অধ্যাপক মো. মমিনুর রহমান। তাঁর গবেষণার বিষয়টি নিয়ে দ্য গার্ডিয়ান-এর গ্লোবাল ডেভেলপমেন্ট বিভাগে প্রকাশিত হয়েছে একটি ফটো স্টোরি।",positive,positive
এ ধরনের প্রক্রিয়ায় তৈরি সার সম্পূর্ণ প্যাথোজেন মুক্ত বলে তা পরিবেশের কোনো ক্ষতি করে না।,positive,positive
"তিনি বলেন, এই পদ্ধতিতে শুধু মানববর্জ্য হতে উত্পাদিত জৈব সার দেশের প্রধান ফসলের মোট চাহিদার ১৭ শতাংশ নাইট্রোজেন, ১৫ শতাংশ ফসফরাস ও ১০ শতাংশ পটাশিয়াম পূরণ করতে সক্ষম।",positive,mildly positive
উইন্ডোজ অপারেটিং সিস্টেমের ভালো একটা সুবিধা হচ্ছে কম্পিউটারকে ঘুম পাড়িয়ে (Sleep) পরবর্তী সময়ে আবার কাজ করানো যায়। বারবার কম্পিউটার বন্ধ বা চালু করার চেয়ে এটা ভালো। বিশেষ করে ল্যাপটপ কম্পিউটারে এই সুবিধা বেশ কাজে লাগে।,positive,positive
বাংলাদেশ তো বটেই গোটা দুনিয়ার প্রযুক্তিক্ষেত্রে পুরুষের তুলনায় নারীর অংশগ্রহণ এখনো অনেক কম।,negative,negative
অ্যান্ড্রয়েডচালিত পণ্য তুলনামূলকভাবে সাশ্রয়ী,positive,positive
কাজ শেষে কম্পিউটার বন্ধ (শাট ডাউন) করছেন কিন্তু বন্ধ হতে বেশি সময় নিচ্ছে।,negative,negative
১২ ঘণ্টার বিমান যাত্রা অথচ চেহারায় নেই কোনো ক্লান্তির ছাপ। ,positive,positive
"সবার সঙ্গে হাসিমুখে কথা বলছেন, সেলফি তুলছেন।",positive,positive
 প্রথমবারের মতো বাংলাদেশে এসে ‘দারুন খুশি’ উইকিপিডিয়ার সহ-প্রতিষ্ঠাতা জিমি ওয়েলস।,positive,strongly positive
" এই গ্রহের যে কেউ যাতে বিনা মূল্যে ও মুক্তভাবে জ্ঞানভান্ডারে প্রবেশ করতে পারে, সে জন্য প্রথম থেকেই উইকিপিডিয়া বৈশ্বিক।",positive,positive
"গবেষণায় দেখা গেছে, জিরাফের মতো কোনো কোনো প্রাণীর চোখে কয়েক স্তরবিশিষ্ট পাপড়ি থাকে, যা শুষ্ক ও অতিরিক্ত ধুলাময় পরিবেশ থেকে তাদের চোখকে রক্ষা করে।",positive,positive
"কুকুর মানুষের সবচেয়ে বিশ্বস্ত প্রাণী হিসেবে পরিচিত,এরা বেশ স্মার্ট, মানুষের আগের ধারণার চেয়েও বেশি, তাই বুঝে নিতে পারে, মানুষের মধ্যে কে বিশ্বস্ত, আর কে নয়।",positive,mildly positive
"কুকুর একবার যদি কোনো মানুষের ওপর আস্থা হারায়, তাহলে পরে আর তাকে সহজে বিশ্বাস করে না।",negative,mildly negative
"মিথ্যা ইশারায় ধোঁকা দিতে চাইলে কুকুর ঠিকই বুঝতে পারে, কেউ একবার এ রকম প্রতারণা করলে কুকুরটি তাঁকে অবিশ্বস্ত হিসেবে ধরে নেয় এবং পরে আর তাঁর ডাকে সাড়া দেয় না।",negative,mildly negative
"প্রতিবেদনে দাবি করা হয়েছে, মোবাইল অ্যাপ্লিকেশন নির্মাতারা সিকিউর সকেটস লেয়ার (এসএসএল) দুর্বলতার জন্য প্যাচ দিতে ব্যর্থ হওয়ায় লাখ লাখ মোবাইল ফোন ব্যবহারকারী ঝুঁকির মধ্যে রয়েছেন।",negative,negative
"ক্রোম ব্রাউজারে নতুন একটি সুবিধা যুক্ত করেছে গুগল, যাতে অনাকাঙ্ক্ষিত সফটওয়্যার ডাউনলোডের আগে ব্যবহারকারীকে বিশেষ সতর্কবার্তা দেখাবে।",positive,positive
"এ ছাড়া গুগল সম্প্রতি ছদ্মবেশী বিজ্ঞাপন বা যেসব বিজ্ঞাপন অনাকাঙ্ক্ষিত সফটওয়্যার ডাউনলোডের সাইটে নিয়ে যায়, সেগুলো বন্ধ করে দিয়েছে।",positive,positive
ভয়াবহ দুর্ঘটনার জন্য সেকেন্ডের সামান্যতম ভগ্নাংশই যথেষ্ট।,negative,mildly negative
এমন ব্যস্ত কোনো গাড়িচালকের মনোযোগ আকর্ষণ করার জন্য সড়কে ব্যবহৃত সাংকেতিক চিহ্নগুলো লিখিত সতর্কবার্তার চেয়ে বেশি কার্যকর হয়ে থাকে।,positive,positive
চালকেরা সাংকেতিক চিহ্ন দেখে তুলনামূলক দ্রুত প্রতিক্রিয়া দেখান বা সিদ্ধান্ত নিতে পারেন।,positive,positive
বিশ্বের প্রায় ৩০টি দেশে কম্পিউটারের হার্ডডিস্কের ভেতর গোপনে স্পাইওয়্যার ঢুকিয়ে নজরদারির অভিযোগ উঠেছে যুক্তরাষ্ট্রের গোয়েন্দা সংস্থার বিরুদ্ধে। এই অভিযোগ করেছে রাশিয়ার অ্যান্টিভাইরাস নির্মাতা প্রতিষ্ঠান ক্যাসপারস্কি ল্যাব।,negative,mildly negative
সম্প্রতি বার্তা সংস্থা রয়টার্স এনএসএর প্রধানের সঙ্গে যোগাযোগ করলে পিসিতে স্পাইওয়্যার ঢোকানোর বিষয়ে কোনো মন্তব্য করতে রাজি হননি তিনি।,negative,mildly negative
"এদিকে মার্কিন গোয়েন্দা সংস্থার সাবেক কর্মী অ্যাডওয়ার্ড স্নোডেন প্রদত্ত তথ্য ও ইন্টারসেপ্টের প্রকাশিত প্রতিবেদনে উল্লেখ করা হয়েছে, যুক্তরাষ্ট্র ও যুক্তরাজ্যের গোয়েন্দারা জিমালটো নামের সিম নির্মাতা প্রতিষ্ঠানে হ্যাকিং করে কোড হাতিয়ে নিয়েছে। এতে গোয়েন্দারা কোটি কোটি মানুষের কল, বার্তা ও ই–মেইলে নজরদারির সুযোগ পাবে।",negative,negative
বেশি বেতন-বোনাসের লোভ দেখিয়ে স্যামসাং থেকে কর্মী ভাগিয়ে নিয়ে যাওয়ার অভিযোগ উঠেছে অ্যাপলের বিরুদ্ধে।,negative,negative
